filename,pair,speaker,task,delay,delay_ms,correct_shifts,false_positives,false_negatives,total_predictions,total_ground_truth,precision,recall,f1,avg_time_difference,pred_mean_duration,pred_median_duration,pred_std_duration,gt_mean_duration,gt_median_duration,gt_std_duration,source_folder
02_S03_nuclear_d1000_conversation.csv,2,S03,nuclear,d1000,1000,229,276,231,505,460,0.4534653465346535,0.4978260869565217,0.4746113989637305,0.3373576583883393,1.5598415841584166,0.6399999999999864,2.5410711031260136,1.2418026092814396,0.8215633010592427,1.1358050980365384,02
02_S03_space_d0000_conversation.csv,2,S03,space,d0000,0,254,191,219,445,473,0.5707865168539326,0.5369978858350951,0.5533769063180828,0.3058029396138318,1.7750561797752795,0.6599999999999682,2.586572554774662,1.3091782712673514,0.8000000000000114,1.341380977227026,02
02_S04_boat_d0500_conversation.csv,2,S04,boat,d0500,500,268,313,216,581,484,0.4612736660929432,0.5537190082644629,0.5032863849765259,0.3227800541010351,1.3510843373493997,0.5800000000000409,1.9527202513802504,1.276799632650837,0.8199999999999363,1.1720498838964766,02
02_S04_desert_d1500_conversation.csv,2,S04,desert,d1500,1500,125,247,245,372,370,0.336021505376344,0.3378378378378378,0.3369272237196765,0.421611052378691,1.6424193548387105,0.6400000000000006,2.4876684157504125,1.2154338346391935,0.7057376047364983,1.235071542912403,02
02_S04_nuclear_d1000_conversation.csv,2,S04,nuclear,d1000,1000,274,290,186,564,460,0.4858156028368794,0.5956521739130435,0.5351562499999999,0.3140489438551086,1.3924468085106367,0.6200000000000045,2.0426895353799623,1.24180260928144,0.8215633010592427,1.1358050980365382,02
02_S04_space_d0000_conversation.csv,2,S04,space,d0000,0,251,187,222,438,473,0.5730593607305936,0.5306553911205074,0.5510428100987925,0.3035944292313866,1.8028767123287663,0.6800000000000068,2.600238123685721,1.3091782712673514,0.8000000000000114,1.341380977227026,02
03_S05_boat_d1000_conversation.csv,3,S05,boat,d1000,1000,204,254,164,458,368,0.445414847161572,0.5543478260869565,0.4939467312348669,0.2915358906768756,1.4082532751091692,0.8400000000000318,1.6275008318540984,1.2334291855979094,0.9468498915680356,0.9624530057032894,03
03_S05_desert_d0000_conversation.csv,3,S05,desert,d0000,0,207,198,171,405,378,0.5111111111111111,0.5476190476190477,0.5287356321839081,0.3144354196731334,1.6479506172839522,0.8600000000000136,2.0765572166700736,1.3267457576071453,1.0,1.1297459535535712,03
03_S05_nuclear_d0500_conversation.csv,3,S05,nuclear,d0500,500,121,150,124,271,245,0.4464944649446494,0.4938775510204081,0.4689922480620155,0.3680225606062253,1.500590405904059,0.660000000000025,2.2822646110260534,1.2990932675984708,0.9000000000000057,1.1089895308929394,03
03_S05_space_d1500_conversation.csv,3,S05,space,d1500,1500,190,258,132,448,322,0.4241071428571428,0.5900621118012422,0.4935064935064934,0.3139287221378978,1.3621874999999988,0.7400000000000091,1.831397212665246,1.2649099795664542,0.9599999999999796,1.1041117239906888,03
03_S06_boat_d1000_conversation.csv,3,S06,boat,d1000,1000,197,255,171,452,368,0.4358407079646018,0.5353260869565217,0.4804878048780487,0.3518902167713229,1.429424778761061,0.82000000000005,1.6970673888263457,1.2334291855979094,0.9468498915680356,0.9624530057032894,03
03_S06_desert_d0000_conversation.csv,3,S06,desert,d0000,0,212,189,166,401,378,0.5286783042394015,0.5608465608465608,0.5442875481386393,0.312255931135585,1.6626932668329175,0.9000000000000341,2.044613805623004,1.3267457576071453,1.0,1.1297459535535712,03
03_S06_nuclear_d0500_conversation.csv,3,S06,nuclear,d0500,500,118,133,127,251,245,0.4701195219123506,0.4816326530612245,0.4758064516129032,0.3013841777123479,1.6250996015936257,0.7599999999999909,2.6379575829044404,1.2990932675984708,0.9000000000000057,1.1089895308929394,03
03_S06_space_d1500_conversation.csv,3,S06,space,d1500,1500,182,217,140,399,322,0.4561403508771929,0.5652173913043478,0.5048543689320387,0.3087578994107421,1.5284210526315785,0.8799999999999955,1.8782349905849245,1.264909979566454,0.9599999999999796,1.104111723990689,03
04_S07_boat_d0000_conversation.csv,4,S07,boat,d0000,0,185,350,162,535,347,0.3457943925233644,0.5331412103746398,0.4195011337868481,0.3825165859573948,1.5136074766355123,0.6399999999999864,2.058354727051193,1.3540978130758692,0.8661560951846354,1.273172359762943,04
04_S07_desert_d0500_conversation.csv,4,S07,desert,d0500,500,221,401,183,622,404,0.3553054662379421,0.5470297029702971,0.4307992202729044,0.3606276516189838,1.375852090032153,0.6599999999999682,1.93405397763662,1.1798875909347513,0.9122879942565304,1.0193021553300696,04
04_S07_nuclear_d1000_conversation.csv,4,S07,nuclear,d1000,1000,169,294,168,463,337,0.3650107991360691,0.5014836795252225,0.4225,0.3369210121741742,1.572872570194383,0.7800000000000011,2.19615572209347,1.2896767310350126,0.8945276240244766,1.0684010930914276,04
04_S07_space_d1500_conversation.csv,4,S07,space,d1500,1500,159,370,206,529,365,0.3005671077504726,0.4356164383561643,0.3557046979865771,0.3438727201616214,1.526313799621929,0.7400000000000091,2.083281597703348,1.3105382576306588,1.0704800504086052,1.0394529549829965,04
04_S08_boat_d0000_conversation.csv,4,S08,boat,d0000,0,191,354,156,545,347,0.3504587155963303,0.5504322766570605,0.4282511210762332,0.3562634010105637,1.4827889908256866,0.6200000000000045,2.043366425771583,1.3540978130758692,0.8661560951846354,1.273172359762943,04
04_S08_desert_d0500_conversation.csv,4,S08,desert,d0500,500,220,375,184,595,404,0.3697478991596639,0.5445544554455446,0.4404404404404404,0.3181123183082289,1.440134453781511,0.7599999999999909,1.989976558809489,1.1798875909347513,0.9122879942565304,1.0193021553300696,04
04_S08_nuclear_d1000_conversation.csv,4,S08,nuclear,d1000,1000,190,324,147,514,337,0.3696498054474708,0.5637982195845698,0.4465334900117509,0.2955690997564323,1.4120233463035003,0.6399999999999864,1.931277523053144,1.2896767310350128,0.8945276240244766,1.0684010930914278,04
04_S08_space_d1500_conversation.csv,4,S08,space,d1500,1500,194,385,171,579,365,0.3350604490500863,0.5315068493150685,0.4110169491525424,0.3127869687522148,1.3920207253886023,0.6999999999999318,1.8221918967891864,1.3105382576306588,1.0704800504086052,1.0394529549829965,04
05_S09_boat_d1500_conversation.csv,5,S09,boat,d1500,1500,272,261,196,533,468,0.5103189493433395,0.5811965811965812,0.5434565434565436,0.2809544454790205,1.4640150093808646,0.6800000000000068,2.0516229826198877,1.3010054621587035,0.8700000000000045,1.1585254522864643,05
05_S09_desert_d0000_conversation.csv,5,S09,desert,d0000,0,315,180,157,495,472,0.6363636363636364,0.6673728813559322,0.6514994829369183,0.2902368455553224,1.558343434343434,0.6999999999999886,1.9650867005398795,1.392417300400936,0.9000000000000341,1.2481546265433687,05
05_S09_nuclear_d0500_conversation.csv,5,S09,nuclear,d0500,500,239,256,183,495,422,0.4828282828282828,0.566350710900474,0.5212649945474374,0.2880227367644294,1.648565656565658,0.7200000000000273,2.2770023185804,1.376356719782292,0.8899999999999864,1.2220856133474898,05
